Item,Quantity Needed,Lot Price,Unit Price
Raspberry Pi Pico Clones,2,$6.30,$3.15
PCB,-,"$44.46 + $34.91 (Shipping) - $14.03 (Coupon) = $65.34",-
Keyboard,1,-,$31.84
Numpad,1,-,$12.62
3D Case (1 Kg Filament),5,$25,-
• Keyboard (Top, Bottom, Plate),3,-,-
• Numpad (Case, Plate),2,-,-
Acrylic Cutout,2,-,-
• Keyboard,1,-,-
• Numpad,1,-,-
EC11 15mm Rotary Encoder,2,$5.34,~$1.00
MCP23017,1,$4.42,$4.42
1N4148,101,$1.27,$0.13
Cherry MX Red,101,$39.22,$0.35
Keycaps (1 set),1,$31.18,$31.18
Stabilizer Set (1 set),1,$8.67,$8.67
SSD1306 0.91'' OLED,1,$4.42,$4.42
SK6812 Mini-E,8,$3.18,$0.16
Rubber Feet (2 sets),2,$8.02,$4.01
EVA Foam,1,$6.79,$6.79
Sub Total,-,$210,-
Taxes (13%),-,$27,-
Grand Total,-,$237 CAD ≈ $174 USD,-
